Date : 2025-04-27 03:37:01
Directory : /Users/vector/Desktop/rent-a-buddy-client
Total : 90 files,  11749 codes, 604 comments, 794 blanks, all 13147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      6,232 |          0 |          2 |      6,234 |
| TypeScript JSX     |         57 |      4,597 |        471 |        627 |      5,695 |
| TypeScript         |         19 |        667 |        103 |        124 |        894 |
| CSS                |          2 |        182 |         30 |         19 |        231 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         16 |          0 |          7 |         23 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |         90 |     11,749 |        604 |        794 |     13,147 |
| . (Files)                                                                                              |          9 |      6,311 |          1 |         32 |      6,344 |
| public                                                                                                 |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                    |         76 |      5,433 |        603 |        762 |      6,798 |
| src/app                                                                                                |         20 |      1,221 |        149 |        185 |      1,555 |
| src/app (Files)                                                                                        |          4 |        398 |         46 |         45 |        489 |
| src/app/api                                                                                            |          1 |          4 |          2 |          5 |         11 |
| src/app/api/auth                                                                                       |          1 |          4 |          2 |          5 |         11 |
